    file problem time
355 150857__400__3_11_34__79.apx EE-CO 5320
356 150857__400__3_11_34__79.apx SE-CO 5281
357 150857__400__3_11_34__79.apx EE-ST 1203
358 150857__400__3_11_34__79.apx SE-ST 1202
359 150857__400__3_11_34__79.apx EE-PR 5280
360 150857__400__3_11_34__79.apx SE-PR 5288
361 152085__300__12_12_26__22.apx EE-GR 120
362 152085__300__12_12_26__22.apx SE-GR 121
363 152085__300__12_12_26__22.apx EE-CO 414
364 152085__300__12_12_26__22.apx SE-CO 415
365 152085__300__12_12_26__22.apx EE-ST 296
366 152085__300__12_12_26__22.apx SE-ST 300
367 152085__300__12_12_26__22.apx EE-PR 417
368 152085__300__12_12_26__22.apx SE-PR 411
369 153752__300__3_3_4__58.apx EE-GR 122
370 153752__300__3_3_4__58.apx SE-GR 123
371 153752__300__3_3_4__58.apx EE-CO 123425
372 153752__300__3_3_4__58.apx SE-CO 123426
373 153752__300__3_3_4__58.apx EE-ST 76997
374 153752__300__3_3_4__58.apx SE-ST 77003
375 153752__300__3_3_4__58.apx EE-PR 123407
376 153752__300__3_3_4__58.apx SE-PR 123602
377 153904__300__12_13_36__72.apx EE-GR 113
378 153904__300__12_13_36__72.apx SE-GR 112
379 153904__300__12_13_36__72.apx EE-CO 255
380 153904__300__12_13_36__72.apx SE-CO 251
381 153904__300__12_13_36__72.apx EE-ST 194
382 153904__300__12_13_36__72.apx SE-ST 193
383 153904__300__12_13_36__72.apx EE-PR 253
384 153904__300__12_13_36__72.apx SE-PR 255
385 156312__300__10_11_63__84.apx EE-GR 100
386 156312__300__10_11_63__84.apx SE-GR 99
387 156312__300__10_11_63__84.apx EE-CO 119
388 156312__300__10_11_63__84.apx SE-CO 113
389 156312__300__10_11_63__84.apx EE-ST 106
390 156312__300__10_11_63__84.apx SE-ST 107
391 156312__300__10_11_63__84.apx EE-PR 115
392 156312__300__10_11_63__84.apx SE-PR 114
393 158223__300__15_15_29__19.apx EE-GR 118
394 158223__300__15_15_29__19.apx SE-GR 117
395 158223__300__15_15_29__19.apx EE-CO 344
396 158223__300__15_15_29__19.apx SE-CO 341
397 158223__300__15_15_29__19.apx EE-ST 309
398 158223__300__15_15_29__19.apx SE-ST 314
399 158223__300__15_15_29__19.apx EE-PR 344
400 158223__300__15_15_29__19.apx SE-PR 346
401 158386__300__12_14_63__76.apx EE-GR 101
402 158386__300__12_14_63__76.apx SE-GR 99
403 158386__300__12_14_63__76.apx EE-CO 124
404 158386__300__12_14_63__76.apx SE-CO 117
405 158386__300__12_14_63__76.apx EE-ST 111
406 158386__300__12_14_63__76.apx SE-ST 108
407 158386__300__12_14_63__76.apx EE-PR 120
408 158386__300__12_14_63__76.apx SE-PR 119
409 159357__400__7_14_44__41.apx EE-GR 101
410 159357__400__7_14_44__41.apx SE-GR 100
411 159357__400__7_14_44__41.apx EE-CO 245
412 159357__400__7_14_44__41.apx SE-CO 238
413 159357__400__7_14_44__41.apx EE-ST 149
414 159357__400__7_14_44__41.apx SE-ST 147
415 159357__400__7_14_44__41.apx EE-PR 241
416 159357__400__7_14_44__41.apx SE-PR 239
417 159643__300__15_15_21__14.apx EE-GR 116
418 159643__300__15_15_21__14.apx SE-GR 116
419 159643__300__15_15_21__14.apx EE-CO 27023
420 159643__300__15_15_21__14.apx SE-CO 27023
421 159643__300__15_15_21__14.apx EE-ST 15218
422 159643__300__15_15_21__14.apx SE-ST 15252
423 159643__300__15_15_21__14.apx EE-PR 27036
424 159643__300__15_15_21__14.apx SE-PR 27059
425 159944__300__4_6_9__72.apx EE-GR 107
426 159944__300__4_6_9__72.apx SE-GR 106
427 159944__300__4_6_9__72.apx EE-CO 182609
428 159944__300__4_6_9__72.apx SE-CO 182742
429 159944__300__4_6_9__72.apx EE-ST 72444
430 159944__300__4_6_9__72.apx SE-ST 72531
431 159944__300__4_6_9__72.apx EE-PR 182955
432 159944__300__4_6_9__72.apx SE-PR 182860
433 159956__300__8_9_19__10.apx EE-GR 131
434 159956__300__8_9_19__10.apx SE-GR 131
435 159956__300__8_9_19__10.apx EE-CO 227
436 159956__300__8_9_19__10.apx SE-CO 224
437 159956__300__8_9_19__10.apx EE-ST 211
438 159956__300__8_9_19__10.apx SE-ST 209
439 159956__300__8_9_19__10.apx EE-PR 227
440 159956__300__8_9_19__10.apx SE-PR 228
441 160116__400__8_10_33__99.apx EE-GR 101
442 160116__400__8_10_33__99.apx SE-GR 103
443 160116__400__8_10_33__99.apx EE-CO 9691
444 160116__400__8_10_33__99.apx SE-CO 9693
445 160116__400__8_10_33__99.apx EE-ST 2127
446 160116__400__8_10_33__99.apx SE-ST 2136
447 160116__400__8_10_33__99.apx EE-PR 9705
448 160116__400__8_10_33__99.apx SE-PR 9706
449 162036__300__11_11_30__49.apx EE-GR 117
450 162036__300__11_11_30__49.apx SE-GR 117
451 162036__300__11_11_30__49.apx EE-CO 138
452 162036__300__11_11_30__49.apx SE-CO 136
453 162036__300__11_11_30__49.apx EE-ST 135
454 162036__300__11_11_30__49.apx SE-ST 133
455 162036__300__11_11_30__49.apx EE-PR 138
456 162036__300__11_11_30__49.apx SE-PR 136
457 162515__300__7_10_66__85.apx EE-GR 100
458 162515__300__7_10_66__85.apx SE-GR 100
459 162515__300__7_10_66__85.apx EE-CO 117
460 162515__300__7_10_66__85.apx SE-CO 112
461 162515__300__7_10_66__85.apx EE-ST 103
462 162515__300__7_10_66__85.apx SE-ST 104
463 162515__300__7_10_66__85.apx EE-PR 114
464 162515__300__7_10_66__85.apx SE-PR 112
465 164313__300__9_11_64__85.apx EE-GR 100
466 164313__300__9_11_64__85.apx SE-GR 99
467 164313__300__9_11_64__85.apx EE-CO 119
468 164313__300__9_11_64__85.apx SE-CO 111
469 164313__300__9_11_64__85.apx EE-ST 106
470 164313__300__9_11_64__85.apx SE-ST 105
471 164313__300__9_11_64__85.apx EE-PR 115
472 164313__300__9_11_64__85.apx SE-PR 113
473 164327__400__9_9_44__77.apx EE-GR 102
474 164327__400__9_9_44__77.apx SE-GR 100
475 164327__400__9_9_44__77.apx EE-CO 183
476 164327__400__9_9_44__77.apx SE-CO 176
477 164327__400__9_9_44__77.apx EE-ST 141
478 164327__400__9_9_44__77.apx SE-ST 138
