    file problem time exit-status
185 131734__300__7_7_14__88.apx EE-GR 128 0
186 131734__300__7_7_14__88.apx SE-GR 129 0
187 131734__300__7_7_14__88.apx EE-CO 9743 0
188 131734__300__7_7_14__88.apx SE-CO 129 0
189 131734__300__7_7_14__88.apx EE-ST 6671 0
190 131734__300__7_7_14__88.apx SE-ST 4605 0
191 131734__300__7_7_14__88.apx EE-PR 9752 0
192 131734__300__7_7_14__88.apx SE-PR 9758 0
193 132179__300__10_10_15__24.apx EE-GR 115 0
194 132179__300__10_10_15__24.apx SE-GR 115 0
195 132179__300__10_10_15__24.apx EE-CO 28895 0
196 132179__300__10_10_15__24.apx SE-CO 116 0
197 132179__300__10_10_15__24.apx EE-ST 17311 0
198 132179__300__10_10_15__24.apx SE-ST 11099 0
199 132179__300__10_10_15__24.apx EE-PR 28875 0
200 132179__300__10_10_15__24.apx SE-PR 28848 0
201 132701__300__10_11_16__26.apx EE-GR 125 0
202 132701__300__10_11_16__26.apx SE-GR 126 0
203 132701__300__10_11_16__26.apx EE-CO 1878 0
204 132701__300__10_11_16__26.apx SE-CO 127 0
205 132701__300__10_11_16__26.apx EE-ST 1431 0
206 132701__300__10_11_16__26.apx SE-ST 179 0
207 132701__300__10_11_16__26.apx EE-PR 1890 0
208 132701__300__10_11_16__26.apx SE-PR 1893 0
209 132920__400__12_17_40__77.apx EE-GR 103 0
210 132920__400__12_17_40__77.apx SE-GR 103 0
211 132920__400__12_17_40__77.apx EE-CO 147 0
212 132920__400__12_17_40__77.apx SE-CO 104 0
213 132920__400__12_17_40__77.apx EE-ST 138 0
214 132920__400__12_17_40__77.apx SE-ST 109 0
215 132920__400__12_17_40__77.apx EE-PR 148 0
216 132920__400__12_17_40__77.apx SE-PR 146 0
217 132981__300__10_10_19__14.apx EE-GR 122 0
218 132981__300__10_10_19__14.apx SE-GR 122 0
219 132981__300__10_10_19__14.apx EE-CO 1346 0
220 132981__300__10_10_19__14.apx SE-CO 124 0
221 132981__300__10_10_19__14.apx EE-ST 1057 0
222 132981__300__10_10_19__14.apx SE-ST 148 0
